gu2-de3,AN
{d}szul-pa-e3-ka,DN
{d}x-x-zu,DN
{d}inanna:ka,DN
{d}nanna-a-kam,DN
HAR-im,DN
{d}gesztin-an-na,DN
{d}szara2-gesz-gi-gal,DN
{d}inanna,DN
{d}nin-ildux(NAGAR)-ma,DN
{d}dumu-zi-da,DN
{d}inanna,DN
{d}en-ki,DN
{d}nin-lil2-la2-ka-ke4-ne,DN
bur2,DN
{d}ba-ba6-ka-da,DN
x-mu-da,DN
sza3-zu,DN
{d}sag-x-x,DN
{d}nin-lil2-ra,DN
na-na-a,DN
x-x,DN
{d}nam2-nun,DN
{d}kar-DU,DN
{d}inanna,DN
{d}nin-gir2-su{ki}-ka,DN
{d}nesag2,DN
{d}lugal-x-x,DN
{d}szar2-a-mu,DN
mi,DN
nin-lil,DN
dumu-KU,DN
{d}nin-...,DN
x-da,DN
{d}inanna,DN
{d}en-lil2,DN
{d}dumu-zi,DN
{d}isz-ha,DN
{d}szusz3-{d}ba-ba6-x,DN
{d}nin-ildu2,DN
{d}nin-gal,DN
{d}{gesz}gu-za,DN
{d}nin-lil2-a,DN
{d}nanna-ga2-kam,DN
{d}en-kar2,DN
x-x-ne,DN
{d}nanna,DN
{d}nin-a-zu,DN
{d}nansze-na,DN
{d}lugal-ka-...,DN
{d}szara2-anzu,DN
{d}edin,DN
x-ba-kam,DN
{d}nansze-me(DISZ),DN
{d}nin-x{ki},DN
{d}a2-an-da,DN
{d}ga2-tum2-du10,DN
{d}nin-{u2}|ZI&ZI|-sze3-ba,DN
{d}nansze-ta,DN
{d}inanna,DN
{d}nin-gir2-su,DN
{d}gibil-la-ni,DN
{d}inanna,DN
{d}nin-urta-ka,DN
{d}en-lil2-la2,DN
{d}nin-mu2,DN
{d}nin-si-sa2,DN
{d}li-si4,DN
{d}USZ-ka-limmu2,DN
{d}en-ki-ka,DN
x-a-am3,DN
ne,DN
{d}lugal-gi,DN
{d}ma-mi,DN
za-ba-ba,DN
{d}nin-gir2-su-kam,DN
{d}inanna,DN
a-tu-gu-la,DN
{d}szara2,DN
{d}mes-lam-ta-e3-x,DN
x-a-na,DN
{d}inanna,DN
{d}nanna,DN
{d}inanna,DN
dumu-zi-da,DN
{d}en-x-lu,DN
{d}inanna,DN
